Name,Country,Population,Area,Capital,CapProv
Andorra,AND,72766,0.0,Andorra la Vella,Andorra
Anglesey,GB,68500,719.0,Llangefni,Anglesey
Anguilla,AXA,14436,0.0,The Valley,Anguilla
Anhui,TJ,59550000,139000.0,Hefei,Anhui
Ankara,TR,3236626,25706.0,Ankara,Ankara
Antalya,TR,1132211,20591.0,Antalya,Antalya
Antananarivo,RM,3195800,58283.0,Antananarivo,Antananarivo
Antigua and Barbuda,AG,65647,0.0,Saint Johns,Antigua and Barbuda
Antioquia,CO,4067207,63612.0,Medellin,Antioquia
Antsiranana,RM,689800,43046.0,Antsiranana,Antsiranana
Antwerp,B,1610695,2867.0,Antwerp,Antwerp
Anzoategui,YV,1034311,43300.0,Barcelona,Anzoategui
Aomori,J,1481663,9619.0,Aomori,Aomori
Apure,YV,382572,76500.0,San Fernando,Apure
Apurimac,PE,409630,20895.0,Abancay,Apurimac
Aqmola,KAZ,845700,92000.0,Aqmola,Aqmola
Aqtobe,KAZ,752800,300600.0,Aqtobe,Aqtobe
Aquitaine,F,2796000,41309.0,Bordeaux,Aquitaine
AR,CH,54104,242.0,Herisau,AR
Arad,RO,507000,7652.0,Arad,Arad
Aragon,E,1183576,47720.0,Zaragoza,Aragon
Aragua,YV,1344099,7014.0,Maracay,Aragua
Arauca,CO,89972,23818.0,Arauca,Arauca
Arbil,IRQ,742538,14471.0,Arbil,Arbil
Arequipa,PE,999851,63345.0,Arequipa,Arequipa
Arges,RO,678000,6801.0,Pitesti,Arges
Arizona,USA,4554966,295259.0,Phoenix,Arizona
Arkansas,USA,2522819,137754.0,Little Rock,Arkansas
Arkhangelskaya oblast,R,1520800,587400.0,Arkhangelsk,Arkhangelskaya oblast
Armenia,ARM,3463574,0.0,Yerevan,Armenia
Artvin,TR,212833,7436.0,Artvin,Artvin
Aruba,ARU,103065,0.0,Oranjestad,Aruba
Arunachal Pradesh,IND,864558,83743.0,Itanagar,Arunachal Pradesh
Arusha,EAT,1351700,82306.0,Arusha,Arusha
As Sulaymaniyah,IRQ,942513,17023.0,As Sulaymaniyah,As Sulaymaniyah
ash Shamaliyah,SUD,1083024,476040.0,ad Damir,ash Shamaliyah
Ash Shariqah,UAE,269000,2600.0,,
ash Sharqiyah,SUD,2208209,334074.0,Kassala,ash Sharqiyah
Assam,IND,22414322,78438.0,Dispur,Assam
Astrakhanskaya oblast,R,1028900,44100.0,Astrakhan,Astrakhanskaya oblast
Asturias,E,1083388,10604.0,Oviedo,Asturias
Aswan,ET,883000,679.0,Aswan,Aswan
Asyut,ET,2456000,1553.0,Asyut,Asyut
Atlantico,CO,1478213,3388.0,Barranquilla,Atlantico
Atlantida,HCA,263700,4251.0,La Ceiba,Atlantida
Attiki,GR,3522769,3808.0,Athens,Attiki
Atyrau,KAZ,459600,118600.0,Atyrau,Atyrau
Aust Agder,N,94688,0.0,Arendal,Aust Agder
Australia Capital Territory,AUS,304100,2452.0,Canberra,Australia Capital Territory
Auvergne,F,1321000,26013.0,Clermont Ferrand,Auvergne
Aveiro,P,656000,2808.0,Aveiro,Aveiro
Avon,GB,962000,1346.0,Bristol,Avon
Ayacucho,PE,517397,43814.0,Ayacucho,Ayacucho
Aydin,TR,824816,8007.0,Aydin,Aydin
Ayeyarwady,MYA,4994100,35138.0,Pathein,Ayeyarwady
Azarbayian e Gharbt,IR,2284208,38850.0,Orumiyeh,Azarbayian e Gharbt
Azarbayian e Sharqi,IR,4420343,67102.0,Tabriz,Azarbayian e Sharqi
Azerbaijan,AZ,7676953,0.0,Baku,Azerbaijan
Azores,P,236700,2247.0,Ponta Delgada,Azores
Babil,IRQ,1108773,6468.0,Al Hillah,Babil
Bacau,RO,731000,6606.0,Bacau,Bacau
Bacs Kiskun,H,540800,8363.0,Kecskemet,Bacs Kiskun
Badakhshoni Kuni,TAD,167100,63700.0,Khorugh,Badakhshoni Kuni
Baden Wurttemberg,D,10272069,35742.0,Stuttgart,Baden Wurttemberg
Baghdad,IRQ,4648609,734.0,Baghdad,Baghdad
Bago,MYA,3799800,39404.0,Bago,Bago
Bahamas,BS,259367,0.0,Nassau,Bahamas
Bahia,BR,12531895,567295.0,Salvador,Bahia
Bahr al Ghazal,SUD,2265510,200894.0,Waw,Bahr al Ghazal
Bahrain,BRN,590042,0.0,Manama,Bahrain
Baja California,MEX,2112140,70113.0,Mexicali,Baja California
Baja California Sur,MEX,375494,73677.0,La Paz,Baja California Sur
Bakhtaran,IR,1622159,23667.0,Bakhtaran,Bakhtaran
Balearic Islands,E,736865,4992.0,Palma de Mallorca,Balearic Islands
Balikesir,TR,973314,14292.0,Balikesir,Balikesir
Balkan,TM,925500,233900.0,Nebitdag,Balkan
Bandundu,ZRE,4644758,295658.0,Bandundu,Bandundu
Bangladesh,BD,123062800,0.0,Dhaka,Bangladesh
Baranya,H,417100,4487.0,Pecs,Pecs (munic.)
Barbados,BDS,257030,0.0,Bridgetown,Barbados
Barinas,YV,519197,35200.0,Barinas,Barinas
Bas Zaire,ZRE,2158595,53920.0,Matadi,Bas Zaire
Basilicata,I,611000,9992.0,Potenza,Basilicata
Basque Country,E,2075561,7235.0,Vitoria Gasteiz,Basque Country
Basse Normandie,F,1391000,17589.0,Caen,Basse Normandie
Batman,TR,344669,4694.0,Batman,Batman
Batys Qazaqstan,KAZ,669800,151300.0,Oral,Batys Qazaqstan
Bayburt,TR,107330,3652.0,Bayburt,Bayburt
Bayern,D,11921944,70546.0,Munich,Bayern
BE,CH,941952,5960.0,Bern,BE
Bedfordshire,GB,534300,1235.0,Bedford,Bedfordshire
Beijing (munic.),TJ,11250000,16800.0,Beijing,Beijing (munic.)
Beja,P,167900,10225.0,Beja,Beja
Bekes,H,404000,5632.0,Bekescaba,Bekes
Belarus,BY,10415973,0.0,Minsk,Belarus
Belgorodskaya oblast,R,1469100,27100.0,Belgorod,Belgorodskaya oblast
Belize,BZ,219296,0.0,Belmopan,Belize
Bengo,ANG,166000,31371.0,Caxito,Bengo
Benguela,ANG,644000,31788.0,Benguela,Benguela
Beni Suef,ET,1586000,1322.0,Beni Suef,Beni Suef
Benin,BEN,5709529,0.0,Porto-Novo,Benin
Berkshire,GB,752500,1259.0,Reading,Berkshire
Berlin,D,3472009,889.0,Berlin,Berlin
Bermuda,BERM,67837,0.0,Hamilton,Bermuda
Bhutan,BHT,1822625,0.0,Thimphu,Bhutan
Bialostockie,PL,697000,10055.0,Bialystok,Bialostockie
Bialskopodlaskie,PL,306700,5348.0,Biala Podlaska,Bialskopodlaskie
Bie,ANG,1125000,70314.0,Bie,Bie
Bielskie,PL,911500,3704.0,Bielsko Biala,Bielskie
Bihar,IND,86374465,173877.0,Patna,Bihar
Bihor,RO,660000,7535.0,Oradea,Bihor
Bilecik,TR,175526,4307.0,Bilecik,Bilecik
Bingol,TR,250966,8125.0,Bingol,Bingol
Bistrita Nasaud,RO,328000,5305.0,Bistrita,Bistrita Nasaud
Bitlis,TR,330115,6707.0,Bitlis,Bitlis
BL,CH,252331,517.0,Liestal,BL
Blaenau Gwent,GB,73300,109.0,Ebbw Vale,Blaenau Gwent
Blekinge,S,151168,2941.0,Karlskrona,Blekinge
Bocas del Toro,PA,88400,8745.0,Bocas del Toro,Bocas del Toro
Bolivar,CO,1288985,25978.0,Cartagena,Bolivar
Bolivar,YV,1142210,238000.0,Ciudad Bolivar,Bolivar
Bolivia,BOL,7165257,0.0,La Paz,Bolivia
Bolu,TR,536869,11051.0,Bolu,Bolu
Borders,GB,105700,4698.0,Newtown St. Boswells,Borders
Borsod Abauj Zemplen,H,749100,7248.0,Miskolc,Miskolc (munic.)
Bosnia and Herzegovina,BIH,2656240,0.0,Sarajevo,Bosnia and Herzegovina
Botosani,RO,468000,4965.0,Botosani,Botosani
Botswana,RB,1477630,0.0,Gaborone,Botswana
Bourgogne,F,1609000,31582.0,Dijon,Bourgogne
Boyaca,CO,1209739,23189.0,Tunja,Boyaca
Boyer Ahmad e Kohkiluyeh,IR,496739,14261.0,Yasuj,Boyer Ahmad e Kohkiluyeh
Brabant,B,2253794,3358.0,Brussels,Brabant
Braga,P,746100,2673.0,Braga,Braga
Braganca,P,158300,6608.0,Braganca,Braganca
Braila,RO,404000,4724.0,Braila,Braila
Brandenburg,D,2536747,29480.0,Potsdam,Brandenburg
Brasov,RO,695000,5351.0,Brasov,Brasov
Bremen,D,680000,404.0,Bremen,Bremen
Bretagne,F,2796000,27209.0,Rennes,Bretagne
Bridgend,GB,130900,246.0,Bridgend,Bridgend
British Columbia,CDN,3724500,948596.0,Victoria,British Columbia
British Virgin Islands,BVIR,24491,0.0,Road Town,British Virgin Islands
Brunei,BRU,299939,0.0,Bandar Seri Begawan,Brunei
Bryanskaya oblast,R,1479700,34900.0,Bryansk,Bryanskaya oblast
BS,CH,195759,37.0,Basel,BS
Buckinghamshire,GB,640200,1883.0,Aylesbury,Buckinghamshire
Bucuresti,RO,2319000,1521.0,Bucharest,Bucuresti
Budapest (munic.),H,2008500,525.0,Budapest,Budapest (munic.)
Buenos Aires,RA,12594974,307571.0,La Plata,Buenos Aires
Bukhoro,UZB,1262000,39400.0,Bukhoro,Bukhoro
Bulgaria,BG,8612757,0.0,Sofia,Bulgaria
Bur Said (munic.),ET,461000,72.0,Bur Said,Bur Said (munic.)
Burdur,TR,254899,6887.0,Burdur,Burdur
Burgenland,A,273000,3965.0,Eisenstadt,Burgenland
Burkina Faso,BF,10623323,0.0,Ouagadougou,Burkina Faso
Bursa,TR,1603137,11043.0,Bursa,Bursa
Burundi,BI,5943057,0.0,Bujumbura,Burundi
Bushehr,IR,694252,27653.0,Bushehr,Bushehr
Buskerud,N,219967,0.0,Drammen,Buskerud
Buzau,RO,524000,6072.0,Buzau,Buzau
Bydgoskie,PL,1120300,10349.0,Bydgoszcz,Bydgoskie
Cabinda,ANG,163000,7270.0,Cabinda,Cabinda
Cabo Delgado,MOC,1202200,82625.0,Pemba,Cabo Delgado
Caerphilly,GB,171000,279.0,Ystrad Fawr,Caerphilly
Cajamarca,PE,1349129,33247.0,Cajamarca,Cajamarca
Calabria,I,2080000,15080.0,Catanzaro,Calabria
Calarasi,RO,351000,5075.0,Calarasi,Calarasi
Caldas,CO,883024,7888.0,Manizales,Caldas
California,USA,32268301,411047.0,Sacramento,California
Callao,PE,701022,146.0,Callao,Callao
Camaguey,C,723000,15990.0,Camaguey,Camaguey
Cambodia,K,10861218,0.0,Phnom Penh,Cambodia
Cambridgeshire,GB,669900,3409.0,Cambridge,Cambridgeshire
Campania,I,5709000,13595.0,Napoli,Campania
Campeche,MEX,642516,51833.0,Campeche,Campeche
Canakkale,TR,432263,9737.0,Canakkale,Canakkale
Canary Islands,E,1534897,7447.0,Santa Cruz de Tenerife,Canary Islands
Cankiri,TR,279129,8454.0,Cankiri,Cankiri
Cantabria,E,526090,5321.0,Santander,Cantabria
Cape Verde,CV,449066,0.0,Praia,Cape Verde
Caqueta,CO,264507,88965.0,Florencia,Caqueta
Carabobo,YV,1823767,4650.0,Valencia,Carabobo
Caras Severin,RO,408000,8503.0,Resita,Caras Severin
Cardiff,GB,306600,139.0,Cardiff,Cardiff
Carinthia,A,559000,9533.0,Klagenfurt,Carinthia
Carmarthenshire,GB,169000,2398.0,Carmarthen,Carmarthenshire
Cartago,CR,359765,3125.0,Cartago,Cartago
Casanare,CO,147472,44640.0,Yopal,Casanare
Castelo Branco,P,214700,6675.0,Castelo Branco,Castelo Branco
Castile and Leon,E,2504371,94224.0,Valladolid,Castile and Leon
Castile La Mancha,E,1656179,79462.0,Toledo,Castile La Mancha
Catalonia,E,6090107,32113.0,Barcelona,Catalonia
Catamarca,RA,264324,102602.0,San Fernando del Valle de Catamarca,Catamarca
Cauca,CO,857751,29308.0,Popayan,Cauca
Cayman Islands,CAYM,49035,0.0,George Town,Cayman Islands
Ceara,BR,6803567,146348.0,Fortaleza,Ceara
Central,EAK,3110000,13176.0,Nyeri,Central
Central,GB,273400,2700.0,Stirling,Central
Central,IL,938000,1242.0,Ramla,Central
Central,Z,722400,94395.0,Kabwe,Central
Central African Republic,RCA,3274426,0.0,Bangui,Central African Republic
Centre,CAM,1651600,68926.0,Yaounde,Centre
Centre,F,2371000,39151.0,Orleans,Centre
Ceredigion,GB,69700,1797.0,Aberystwyth,Ceredigion
Cesar,CO,699428,22905.0,Valledupar,Cesar
Chaco,RA,839677,99633.0,Resistencia,Chaco
Chad,TCH,6976845,0.0,NDjamena,Chad
Chahar Mahal e Bakhtiari,IR,747297,14870.0,Shahr e Kord,Chahar Mahal e Bakhtiari
Champagne Ardenne,F,1348000,25606.0,Chalons en Champagne,Champagne Ardenne
Chandigarh,IND,642015,114.0,Chandigarh,Chandigarh
Chechen Rep.,R,865100,12300.0,Grozny,Chechen Rep.
Chelmskie,PL,248500,3866.0,Chelm,Chelmskie
Chelyabinskaya oblast,R,3688700,87900.0,Chelyabinsk,Chelyabinskaya oblast
Cherkaska,UA,1530900,20900.0,Cherkasy,Cherkaska
Chernihivska,UA,938600,31900.0,Chernihiv,Chernihivska
Chernivetska,UA,1405800,8100.0,Chernivtsi,Chernivetska
Cheshire,GB,966500,2329.0,Chester,Cheshire
Chiapas,MEX,3584786,73887.0,Tuxtla Gutierrez,Chiapas
Chiba,J,5797782,5150.0,Chiba,Chiba
Chihuahua,MEX,2793537,247087.0,Chihuahua,Chihuahua
Chile,RCH,14333258,0.0,Santiago,Chile
Chin,MYA,368900,36019.0,Hakha,Chin
Chiriqui,PA,396800,8653.0,David,Chiriqui
Chitinskaya oblast,R,1295000,431500.0,Chita,Chitinskaya oblast
Choco,CO,313567,46530.0,Quibdo,Choco
Choluteca,HCA,326100,4211.0,Choluteca,Choluteca
Christmas Island,XMAS,1402,0.0,Flying Fish Cove,Christmas Island
Chubut,RA,357189,224686.0,Rawson,Chubut
Chukotsky ao,R,90500,737700.0,Anadyr,Chukotsky ao
Chuvash Republic,R,1360800,18300.0,Cheboksary,Chuvash Republic
Ciechanowskie,PL,431400,6362.0,Ciechanow,Ciechanowskie
Ciego de Avila,C,353000,6910.0,Ciego de Avila,Ciego de Avila
