City,Province,Country,River,Lake,Sea
Ulm,Baden Wurttemberg,D,Donau,,
Ulm,Baden Wurttemberg,D,Iller,,
Munich,Bayern,D,Isar,,
Augsburg,Bayern,D,Lech,,
Wurzburg,Bayern,D,Main,,
Regensburg,Bayern,D,Donau,,
Ingolstadt,Bayern,D,Donau,,
Bremen,Bremen,D,Weser,,
Bremerhaven,Bremen,D,Weser,,North Sea
Hamburg,Hamburg,D,Elbe,,
Wiesbaden,Hessen,D,Rhein,,
Wiesbaden,Hessen,D,Main,,
Frankfurt am Main,Hessen,D,Main,,
Kassel,Hessen,D,Fulda,,
Offenbach am Main,Hessen,D,Main,,
Rostock,Mecklenburg Vorpommern,D,,,Baltic Sea
Hannover,Niedersachsen,D,Leine,,
Gottingen,Niedersachsen,D,Leine,,
Wolfsburg,Niedersachsen,D,Aller,,
Dusseldorf,Nordrhein Westfalen,D,Rhein,,
Koln,Nordrhein Westfalen,D,Rhein,,
Duisburg,Nordrhein Westfalen,D,Rhein,,
Bonn,Nordrhein Westfalen,D,Rhein,,
Krefeld,Nordrhein Westfalen,D,Rhein,,
Leverkusen,Nordrhein Westfalen,D,Rhein,,
Neuss,Nordrhein Westfalen,D,Rhein,,
Mainz,Rheinland Pfalz,D,Rhein,,
Ludwigshafen,Rheinland Pfalz,D,Rhein,,
Koblenz,Rheinland Pfalz,D,Rhein,,
Koblenz,Rheinland Pfalz,D,Mosel,,
Saarbrucken,Saarland,D,Saar,,
Dresden,Sachsen,D,Elbe,,
Magdeburg,Sachsen Anhalt,D,Elbe,,
Kiel,Schleswig Holstein,D,,,Baltic Sea
Lubeck,Schleswig Holstein,D,,,Baltic Sea
Szolnok,Szolnok,H,Theiss,,
Budapest,Budapest (munic.),H,Donau,,
Gyor,Gyor (munic.),H,Raab,,
Szeged,Szeged (munic.),H,Theiss,,
Turin,Piemonte,I,Po,,
Bolzano,Trentino Alto Adige,I,Etsch,,
Trento,Trentino Alto Adige,I,Etsch,,
Verona,Veneto,I,Etsch,,
Venice,Veneto,I,,,Mediterranean Sea
Trieste,Friuli Venezia Giulia,I,,,Mediterranean Sea
La Spezia,Liguria,I,,,Mediterranean Sea
Genua,Liguria,I,,,Mediterranean Sea
Piacenza,Emilia Romagna,I,Po,,
Rimini,Emilia Romagna,I,,,Mediterranean Sea
Livorno,Toscana,I,,,Mediterranean Sea
Pisa,Toscana,I,Arno,,
Firenze,Toscana,I,Arno,,
Ancona,Marche,I,,,Mediterranean Sea
Rome,Lazio,I,Tiber,,
Pescara,Abruzzo,I,,,Mediterranean Sea
Salerno,Campania,I,,,Mediterranean Sea
Napoli,Campania,I,,,Mediterranean Sea
Torre del Greco,Campania,I,,,Mediterranean Sea
Bari,Puglia,I,,,Mediterranean Sea
Taranto,Puglia,I,,,Mediterranean Sea
Reggio di Calabria,Calabria,I,,,Mediterranean Sea
Palermo,Sicilia,I,,,Mediterranean Sea
Messina,Sicilia,I,,,Mediterranean Sea
Catania,Sicilia,I,,,Mediterranean Sea
Siracusa,Sicilia,I,,,Mediterranean Sea
Cagliari,Sardegna,I,,,Mediterranean Sea
Bratislava,Slovakia,SK,Donau,,
Bratislava,Slovakia,SK,March,,
Ljubljana,Slovenia,SLO,Save,,
Aarau,AG,CH,Aare,,
Basel,BS,CH,Rhein,,
Bern,BE,CH,Aare,,
Geneva,GE,CH,Rhone,Lac Leman,
Chur,GR,CH,Rhein,,
Luzern,LU,CH,Reuss,Vierwaldstattersee,
Schaffhausen,SH,CH,Rhein,,
Solothurn,SO,CH,Aare,,
Bellinzona,TI,CH,Ticino,,
Altdorf,UR,CH,Reuss,,
Sion,VS,CH,Rhone,,
Lausanne,VD,CH,,Lac Leman,
Zurich,ZH,CH,Limmat,Zurichsee,
Riga,Latvia,LV,Western Dwina,,Baltic Sea
Warsaw,Warszwaskie,PL,Weichsel,,
Bydgoszcz,Bydgoskie,PL,Weichsel,,
Gdansk,Gdanskie,PL,Weichsel,,Baltic Sea
Gdynia,Gdanskie,PL,,,Baltic Sea
Krakow,Krakowskie,PL,Weichsel,,
Opole,Opolskie,PL,Oder,,
Szczecin,Szczecinskie,PL,Oder,,
