Country,Organization,Type
AG,IMF,member
AG,IMO,member
AG,Intelsat,nonsignatory user
AG,Interpol,member
AG,IOC,National Olympic Committee
AG,ISO,subscriber member
AG,ITU,member
AG,NAM,observer
AG,OAS,member
AG,OECS,member
AG,OPANAL,member
AG,UN,member
AG,UNESCO,member
AG,UPU,member
AG,WCL,member
AG,WFTU,member
AG,WHO,member
AG,WMO,member
AG,WTrO,member
AL,ANC,member
AL,BSEC,member
AL,CCC,member
AL,CE,member
AL,EBRD,member
AL,ECE,member
AL,FAO,member
AL,IAEA,member
AL,IBRD,member
AL,ICAO,member
AL,ICRM,National Society
AL,IDA,Part II
AL,IDB,member
AL,IFAD,Category III
AL,IFC,member
AL,IFRCS,member
AL,ILO,member
AL,IMF,member
AL,IMO,member
AL,Intelsat,nonsignatory user
AL,Interpol,member
AL,IOC,National Olympic Committee
AL,IOM,member
AL,ISO,member
AL,ITU,member
AL,OIC,member
AL,OSCE,member
AL,PFP,member
AL,UN,member
AL,UNESCO,member
AL,UNIDO,member
AL,UNOMIG,member
AL,UPU,member
AL,WFTU,member
AL,WHO,member
AL,WIPO,member
AL,WMO,member
AL,WToO,member
AL,WTrO,applicant
AMSA,Interpol,subbureau
AMSA,IOC,National Olympic Committee
AMSA,SPC,member
AMSA,UPU,member
AND,CE,member
AND,ECE,member
AND,IFRCS,member
AND,Interpol,member
AND,IOC,National Olympic Committee
AND,ITU,member
AND,UN,member
AND,UNESCO,member
AND,WIPO,member
ANG,ACP,member
ANG,AfDB,regional member
ANG,CCC,member
ANG,CEEAC,observer
ANG,ECA,member
ANG,FAO,member
ANG,G-77,member
ANG,IBRD,member
ANG,ICAO,member
ANG,ICRM,National Society
ANG,IDA,Part II
ANG,IFAD,Category III
ANG,IFC,member
ANG,IFRCS,member
ANG,ILO,member
ANG,IMF,member
ANG,IMO,member
ANG,Intelsat,member
ANG,Interpol,member
ANG,IOC,National Olympic Committee
ANG,IOM,member
ANG,ITU,member
ANG,NAM,member
ANG,OAS,observer
ANG,OAU,member
ANG,SADC,member
ANG,UN,member
ANG,UNESCO,member
ANG,UNIDO,member
ANG,UPU,member
ANG,WCL,member
ANG,WFTU,member
ANG,WHO,member
ANG,WIPO,member
ANG,WMO,member
ANG,WToO,member
ARM,ANC,member
ARM,BSEC,member
ARM,CCC,member
ARM,CIS,member
ARM,EBRD,member
ARM,ECE,member
ARM,ESCAP,member
ARM,FAO,member
ARM,IAEA,member
ARM,IBRD,member
ARM,ICAO,member
ARM,IDA,Part II
ARM,IFAD,Category III
ARM,IFC,member
ARM,IFRCS,member
ARM,ILO,member
ARM,IMF,member
ARM,Intelsat,member
ARM,Interpol,member
ARM,IOC,National Olympic Committee
ARM,IOM,member
ARM,ITU,member
ARM,NAM,observer
ARM,OSCE,member
ARM,PFP,member
ARM,UN,member
ARM,UNESCO,member
ARM,UNIDO,member
ARM,UPU,member
ARM,WHO,member
ARM,WIPO,member
ARM,WMO,member
ARM,WTrO,applicant
ARU,Caricom,observer
ARU,ILO,member
ARU,IMF,member
ARU,Interpol,member
ARU,IOC,National Olympic Committee
ARU,UNESCO,associate member
ARU,UPU,member
ARU,WCL,member
ARU,WFTU,member
ARU,WMO,member
AUS,AG,observer
AUS,ANZUS,member
AUS,AsDB,regional member
AUS,BIS,member
AUS,C,member
AUS,CCC,member
AUS,CP,member
AUS,EBRD,member
AUS,EN,member
AUS,ESCAP,member
AUS,FAO,member
AUS,IAEA,member
AUS,IBRD,member
AUS,ICAO,member
AUS,ICC,member
AUS,ICFTU,member
AUS,ICRM,National Society
AUS,IDA,Part I
AUS,IEA,member
AUS,IFAD,Category I
AUS,IFC,member
AUS,IFRCS,member
AUS,ILO,member
AUS,IMF,member
AUS,IMO,member
AUS,Inmarsat,member
AUS,Intelsat,member
AUS,Interpol,member
AUS,IOC,National Olympic Committee
AUS,IOM,member
AUS,ISO,member
AUS,ITU,member
AUS,MTCR,member
AUS,NAM,guest
AUS,NSG,member
AUS,OECD,member
AUS,PCA,member
AUS,Sparteca,member
AUS,SPC,member
AUS,SPF,member
AUS,UN,member
AUS,UNAMIR,member
AUS,UNESCO,member
AUS,UNFICYP,member
AUS,UNHCR,member
AUS,UNIDO,member
AUS,UNTSO,member
AUS,UNU,member
AUS,UPU,member
AUS,WFTU,member
AUS,WHO,member
AUS,WIPO,member
AUS,WMO,member
AUS,WTrO,member
AUS,ZC,member
AXA,Caricom,observer
AXA,CDB,regional member
AXA,Interpol,subbureau
AXA,OECS,associate member
AXA,UPU,member
AXA,WFTU,member
AZ,ANC,member
AZ,BSEC,member
AZ,CCC,member
AZ,CIS,member
AZ,EBRD,member
AZ,ECE,member
AZ,ECO,member
AZ,ESCAP,member
AZ,FAO,member
AZ,IBRD,member
AZ,ICAO,member
AZ,IDA,Part II
AZ,IDB,member
AZ,IFAD,Category III
AZ,IFRCS,member
AZ,ILO,member
AZ,IMF,member
AZ,IMO,member
AZ,Intelsat,member
AZ,Interpol,member
AZ,IOC,National Olympic Committee
AZ,ITU,member
AZ,NAM,observer
AZ,OIC,member
AZ,OSCE,member
AZ,PFP,member
AZ,UN,member
AZ,UNESCO,member
AZ,UNIDO,member
AZ,UPU,member
AZ,WHO,member
AZ,WIPO,member
AZ,WMO,member
AZ,WTrO,observer
B,ACCT,member
B,AfDB,nonregional member
B,AG,observer
B,ANC,member
B,AsDB,nonregional member
B,Benelux,member
B,BIS,member
B,CCC,member
B,CE,member
B,CERN,member
B,EBRD,member
B,ECE,member
B,EIB,member
B,EN,member
B,ESA,member
B,EU,member
B,FAO,member
B,G-10,member
B,G-9,member
B,IADB,member
B,IAEA,member
B,IBRD,member
B,ICAO,member
B,ICC,member
B,ICFTU,member
B,ICRM,National Society
B,IDA,Part I
B,IEA,member
B,IFAD,Category I
B,IFC,member
B,IFRCS,member
B,ILO,member
B,IMF,member
B,IMO,member
B,Inmarsat,member
B,Intelsat,member
B,Interpol,member
B,IOC,National Olympic Committee
B,IOM,member
B,ISO,member
B,ITU,member
B,MINURSO,member
B,MTCR,member
B,NATO,member
B,NSG,member
B,OAS,observer
B,OECD,member
B,OSCE,member
B,PCA,member
B,UN,member
B,UNCRO,member
B,UNESCO,member
B,UNHCR,member
B,UNIDO,member
B,UNITAR,member
B,UNMOGIP,member
B,UNPROFOR,member
B,UNRWA,member
B,UNTSO,member
B,UPU,member
B,WCL,member
B,WEU,member
B,WHO,member
B,WIPO,member
B,WMO,member
B,WToO,member
B,WTrO,member
B,ZC,member
BD,AsDB,regional member
BD,C,member
BD,CCC,member
BD,CP,member
BD,ESCAP,member
BD,FAO,member
BD,G-77,member
BD,IAEA,member
BD,IBRD,member
BD,ICAO,member
BD,ICFTU,member
BD,ICRM,National Society
BD,IDA,Part II
BD,IDB,member
BD,IFAD,Category III
BD,IFC,member
BD,IFRCS,member
BD,ILO,member
BD,IMF,member
BD,IMO,member
BD,Inmarsat,member
BD,Intelsat,member
BD,Interpol,member
BD,IOC,National Olympic Committee
BD,IOM,member
BD,ISO,member
BD,ITU,member
BD,MINURSO,member
BD,NAM,member
BD,OIC,member
BD,SAARC,member
BD,UN,member
BD,UNAMIR,member
BD,UNAVEM III,member
BD,UNCRO,member
BD,UNESCO,member
BD,UNHCR,member
BD,UNIDO,member
BD,UNIKOM,member
BD,UNMIH,member
BD,UNMOT,member
BD,UNOMIG,member
BD,UNPREDEP,member
BD,UNPROFOR,member
BD,UNU,member
BD,UPU,member
BD,WCL,member
BD,WFTU,member
BD,WHO,member
BD,WIPO,member
BD,WMO,member
BD,WToO,member
BD,WTrO,member
BDS,ACP,member
BDS,C,member
BDS,Caricom,member
BDS,CDB,regional member
BDS,ECLAC,member
BDS,FAO,member
BDS,G-77,member
BDS,IADB,member
BDS,IBRD,member
BDS,ICAO,member
BDS,ICFTU,member
BDS,ICRM,National Society
BDS,IFAD,Category III
BDS,IFC,member
BDS,IFRCS,member
BDS,ILO,member
BDS,IMF,member
BDS,IMO,member
BDS,Intelsat,member
BDS,Interpol,member
BDS,IOC,National Olympic Committee
BDS,ISO,correspondent member
BDS,ITU,member
BDS,LAES,member
BDS,NAM,member
BDS,OAS,member
BDS,OPANAL,member
BDS,UN,member
BDS,UNESCO,member
BDS,UNIDO,member
BDS,UNMIH,member
BDS,UPU,member
BDS,WHO,member
BDS,WIPO,member
BDS,WMO,member
BDS,WTrO,member
BEN,ACCT,member
BEN,ACP,member
BEN,AfDB,regional member
BEN,ECA,member
BEN,ECOWAS,member
BEN,Entente,member
BEN,FAO,member
BEN,FZ,member
BEN,G-77,member
BEN,IBRD,member
BEN,ICAO,member
BEN,ICFTU,member
BEN,ICRM,National Society
BEN,IDA,Part II
BEN,IDB,member
BEN,IFAD,Category III
BEN,IFC,member
BEN,IFRCS,member
BEN,ILO,member
BEN,IMF,member
BEN,IMO,member
BEN,Intelsat,member
BEN,Interpol,member
BEN,IOC,National Olympic Committee
BEN,ITU,member
BEN,NAM,member
BEN,OAU,member
BEN,OIC,member
BEN,UN,member
BEN,UNESCO,member
BEN,UNIDO,member
BEN,UNMIH,member
BEN,UPU,member
BEN,WADB,member
BEN,WCL,member
BEN,WFTU,member
BEN,WHO,member
BEN,WIPO,member
BEN,WMO,member
BEN,WToO,member
BERM,Caricom,observer
BERM,ICFTU,member
BERM,Interpol,subbureau
BERM,IOC,National Olympic Committee
BERM,UPU,member
BERM,WFTU,member
BF,ACCT,member
BF,ACP,member
BF,AfDB,regional member
BF,CCC,member
BF,ECA,member
BF,ECOWAS,member
BF,Entente,member
BF,FAO,member
BF,FZ,member
BF,G-77,member
BF,IBRD,member
BF,ICAO,member
BF,ICC,member
BF,ICFTU,member
BF,ICRM,National Society
BF,IDA,Part II
BF,IDB,member
BF,IFAD,Category III
BF,IFC,member
BF,IFRCS,member
BF,ILO,member
BF,IMF,member
BF,Intelsat,member
BF,Interpol,member
BF,IOC,National Olympic Committee
BF,ITU,member
BF,NAM,member
BF,OAU,member
BF,OIC,member
BF,PCA,member
BF,UN,member
BF,UNESCO,member
BF,UNIDO,member
BF,UPU,member
BF,WADB,member
BF,WCL,member
BF,WFTU,member
BF,WHO,member
BF,WIPO,member
BF,WMO,member
BF,WToO,member
BF,WTrO,member
BG,ACCT,member
BG,ANC,member
BG,BIS,member
BG,BSEC,member
BG,CCC,member
BG,CE,member
BG,CEI,associate member
BG,EBRD,member
BG,ECE,member
BG,EU,member
BG,FAO,member
BG,G-9,member
BG,IAEA,member
BG,IBRD,member
BG,ICAO,member
BG,ICFTU,member
BG,ICRM,National Society
BG,IFC,member
BG,IFRCS,member
BG,ILO,member
BG,IMF,member
BG,IMO,member
BG,Inmarsat,member
BG,Intelsat,nonsignatory user
BG,Interpol,member
BG,IOC,National Olympic Committee
BG,IOM,member
BG,ISO,member
BG,ITU,member
BG,NAM,guest
BG,NSG,member
BG,OSCE,member
BG,PCA,member
BG,PFP,member
BG,UN,member
BG,UNAVEM III,member
BG,UNESCO,member
BG,UNIDO,member
BG,UNMOT,member
BG,UPU,member
BG,WEU,associate partner
BG,WFTU,member
BG,WHO,member
BG,WIPO,member
BG,WMO,member
BG,WToO,member
BG,WTrO,applicant
BG,ZC,member
BHT,AsDB,regional member
BHT,CP,member
BHT,ESCAP,member
BHT,FAO,member
BHT,G-77,member
BHT,IBRD,member
BHT,ICAO,member
BHT,IDA,Part II
BHT,IFAD,Category III
BHT,IMF,member
BHT,Intelsat,member
BHT,IOC,National Olympic Committee
BHT,ITU,member
BHT,NAM,member
BHT,SAARC,member
BHT,UN,member
BHT,UNESCO,member
BHT,UNIDO,member
BHT,UPU,member
BHT,WHO,member
BHT,WIPO,member
BI,ACCT,member
BI,ACP,member
BI,AfDB,regional member
BI,CCC,member
BI,CEEAC,member
BI,CEPGL,member
BI,ECA,member
BI,FAO,member
BI,G-77,member
BI,IBRD,member
BI,ICAO,member
BI,ICRM,National Society
BI,IDA,Part II
BI,IFAD,Category III
BI,IFC,member
BI,IFRCS,member
BI,ILO,member
BI,IMF,member
BI,Intelsat,nonsignatory user
BI,Interpol,member
BI,IOC,National Olympic Committee
BI,ISO,subscriber member
BI,ITU,member
BI,NAM,member
BI,OAU,member
BI,UN,member
BI,UNESCO,member
BI,UNIDO,member
BI,UPU,member
BI,WHO,member
BI,WIPO,member
BI,WMO,member
BI,WToO,member
BI,WTrO,member
BIH,CE,guest
BIH,CEI,member
BIH,ECE,member
BIH,FAO,member
BIH,ICAO,member
BIH,IFAD,Category III
BIH,ILO,member
BIH,IMO,member
BIH,Intelsat,nonsignatory user
BIH,Interpol,member
BIH,IOC,National Olympic Committee
BIH,IOM,observer
BIH,ITU,member
BIH,NAM,guest
BIH,OSCE,member
BIH,UN,member
BIH,UNESCO,member
BIH,UNIDO,member
BIH,UPU,member
BIH,WHO,member
BIH,WIPO,member
BIH,WMO,member
BIH,WToO,member
BOL,AG,member
BOL,ECLAC,member
BOL,FAO,member
BOL,G-11,member
BOL,G-77,member
BOL,IADB,member
BOL,IAEA,member
BOL,IBRD,member
BOL,ICAO,member
BOL,ICRM,National Society
BOL,IDA,Part II
BOL,IFAD,Category III
BOL,IFC,member
BOL,IFRCS,member
BOL,ILO,member
BOL,IMF,member
BOL,IMO,member
BOL,Intelsat,member
BOL,Interpol,member
BOL,IOC,National Olympic Committee
BOL,IOM,member
BOL,ITU,member
BOL,LAES,member
BOL,LAIA,member
BOL,NAM,member
BOL,OAS,member
BOL,OPANAL,member
BOL,PCA,member
BOL,RG,member
BOL,UN,member
BOL,UNESCO,member
BOL,UNIDO,member
BOL,UPU,member
BOL,WCL,member
BOL,WFTU,member
BOL,WHO,member
BOL,WIPO,member
BOL,WMO,member
BOL,WToO,member
BOL,WTrO,member
BR,AfDB,nonregional member
BR,AG,observer
BR,CCC,member
BR,ECLAC,member
BR,FAO,member
BR,G-11,member
BR,G-15,member
BR,G-19,member
BR,G-24,member
BR,G-77,member
BR,IADB,member
BR,IAEA,member
BR,IBRD,member
BR,ICAO,member
BR,ICC,member
BR,ICFTU,member
BR,ICRM,National Society
BR,IDA,Part II
BR,IFAD,Category III
BR,IFC,member
BR,IFRCS,member
BR,ILO,member
BR,IMF,member
BR,IMO,member
BR,Inmarsat,member
BR,Intelsat,member
BR,Interpol,member
BR,IOC,National Olympic Committee
BR,IOM,observer
