Name,Country,Population,Area,Capital,CapProv
Andorra,AND,72766,0.0,Andorra la Vella,Andorra
Anglesey,GB,68500,719.0,Llangefni,Anglesey
Anguilla,AXA,14436,0.0,The Valley,Anguilla
Anhui,TJ,59550000,139000.0,Hefei,Anhui
Ankara,TR,3236626,25706.0,Ankara,Ankara
Antalya,TR,1132211,20591.0,Antalya,Antalya
Antananarivo,RM,3195800,58283.0,Antananarivo,Antananarivo
Antigua and Barbuda,AG,65647,0.0,Saint Johns,Antigua and Barbuda
Antioquia,CO,4067207,63612.0,Medellin,Antioquia
Antsiranana,RM,689800,43046.0,Antsiranana,Antsiranana
Antwerp,B,1610695,2867.0,Antwerp,Antwerp
Anzoategui,YV,1034311,43300.0,Barcelona,Anzoategui
Aomori,J,1481663,9619.0,Aomori,Aomori
Apure,YV,382572,76500.0,San Fernando,Apure
Apurimac,PE,409630,20895.0,Abancay,Apurimac
Aqmola,KAZ,845700,92000.0,Aqmola,Aqmola
Aqtobe,KAZ,752800,300600.0,Aqtobe,Aqtobe
Aquitaine,F,2796000,41309.0,Bordeaux,Aquitaine
AR,CH,54104,242.0,Herisau,AR
Arad,RO,507000,7652.0,Arad,Arad
Aragon,E,1183576,47720.0,Zaragoza,Aragon
Aragua,YV,1344099,7014.0,Maracay,Aragua
Arauca,CO,89972,23818.0,Arauca,Arauca
Arbil,IRQ,742538,14471.0,Arbil,Arbil
Arequipa,PE,999851,63345.0,Arequipa,Arequipa
Arges,RO,678000,6801.0,Pitesti,Arges
Arizona,USA,4554966,295259.0,Phoenix,Arizona
Arkansas,USA,2522819,137754.0,Little Rock,Arkansas
Arkhangelskaya oblast,R,1520800,587400.0,Arkhangelsk,Arkhangelskaya oblast
Armenia,ARM,3463574,0.0,Yerevan,Armenia
Artvin,TR,212833,7436.0,Artvin,Artvin
Aruba,ARU,103065,0.0,Oranjestad,Aruba
Arunachal Pradesh,IND,864558,83743.0,Itanagar,Arunachal Pradesh
Arusha,EAT,1351700,82306.0,Arusha,Arusha
As Sulaymaniyah,IRQ,942513,17023.0,As Sulaymaniyah,As Sulaymaniyah
ash Shamaliyah,SUD,1083024,476040.0,ad Damir,ash Shamaliyah
Ash Shariqah,UAE,269000,2600.0,,
ash Sharqiyah,SUD,2208209,334074.0,Kassala,ash Sharqiyah
Assam,IND,22414322,78438.0,Dispur,Assam
Astrakhanskaya oblast,R,1028900,44100.0,Astrakhan,Astrakhanskaya oblast
Asturias,E,1083388,10604.0,Oviedo,Asturias
Aswan,ET,883000,679.0,Aswan,Aswan
Asyut,ET,2456000,1553.0,Asyut,Asyut
Atlantico,CO,1478213,3388.0,Barranquilla,Atlantico
Atlantida,HCA,263700,4251.0,La Ceiba,Atlantida
Attiki,GR,3522769,3808.0,Athens,Attiki
Atyrau,KAZ,459600,118600.0,Atyrau,Atyrau
Aust Agder,N,94688,0.0,Arendal,Aust Agder
Australia Capital Territory,AUS,304100,2452.0,Canberra,Australia Capital Territory
Auvergne,F,1321000,26013.0,Clermont Ferrand,Auvergne
Aveiro,P,656000,2808.0,Aveiro,Aveiro
Avon,GB,962000,1346.0,Bristol,Avon
Ayacucho,PE,517397,43814.0,Ayacucho,Ayacucho
Aydin,TR,824816,8007.0,Aydin,Aydin
Ayeyarwady,MYA,4994100,35138.0,Pathein,Ayeyarwady
Azarbayian e Gharbt,IR,2284208,38850.0,Orumiyeh,Azarbayian e Gharbt
Azarbayian e Sharqi,IR,4420343,67102.0,Tabriz,Azarbayian e Sharqi
Azerbaijan,AZ,7676953,0.0,Baku,Azerbaijan
Azores,P,236700,2247.0,Ponta Delgada,Azores
Babil,IRQ,1108773,6468.0,Al Hillah,Babil
Bacau,RO,731000,6606.0,Bacau,Bacau
Bacs Kiskun,H,540800,8363.0,Kecskemet,Bacs Kiskun
Badakhshoni Kuni,TAD,167100,63700.0,Khorugh,Badakhshoni Kuni
Baden Wurttemberg,D,10272069,35742.0,Stuttgart,Baden Wurttemberg
Baghdad,IRQ,4648609,734.0,Baghdad,Baghdad
Bago,MYA,3799800,39404.0,Bago,Bago
Bahamas,BS,259367,0.0,Nassau,Bahamas
Bahia,BR,12531895,567295.0,Salvador,Bahia
Bahr al Ghazal,SUD,2265510,200894.0,Waw,Bahr al Ghazal
Bahrain,BRN,590042,0.0,Manama,Bahrain
Baja California,MEX,2112140,70113.0,Mexicali,Baja California
Baja California Sur,MEX,375494,73677.0,La Paz,Baja California Sur
Bakhtaran,IR,1622159,23667.0,Bakhtaran,Bakhtaran
Balearic Islands,E,736865,4992.0,Palma de Mallorca,Balearic Islands
Balikesir,TR,973314,14292.0,Balikesir,Balikesir
Balkan,TM,925500,233900.0,Nebitdag,Balkan
Bandundu,ZRE,4644758,295658.0,Bandundu,Bandundu
Bangladesh,BD,123062800,0.0,Dhaka,Bangladesh
Baranya,H,417100,4487.0,Pecs,Pecs (munic.)
Barbados,BDS,257030,0.0,Bridgetown,Barbados
Barinas,YV,519197,35200.0,Barinas,Barinas
Bas Zaire,ZRE,2158595,53920.0,Matadi,Bas Zaire
Basilicata,I,611000,9992.0,Potenza,Basilicata
Basque Country,E,2075561,7235.0,Vitoria Gasteiz,Basque Country
Basse Normandie,F,1391000,17589.0,Caen,Basse Normandie
Batman,TR,344669,4694.0,Batman,Batman
Batys Qazaqstan,KAZ,669800,151300.0,Oral,Batys Qazaqstan
